Ticker,Name der Anteilklasse,ISIN,Fondsvermögen,UCITS,Domizil,TER (%),Laufende Gebühren (%),Auflagedatum,Anlageklasse,Unteranlageklasse,Region,Währung der Anteilsklasse,Markt,Strategie,Standort,Anteils- klasse,Anteile im Umlauf,für ISA zugelassen,Produktmethodik,Emittent,Ertrags- verwendung,Referenzindex,NAV,Per,Benchmark-Wert,für SIPP verfügbar,UK-Distributor /Reporting-Status,Risk Indicator,Geldkurs,Per,Briefkurs,Per,AUM (Mio.),UCITS,Anlageansatz,Diskrete Rendite,,,,,,Annualisiert,,,,,,,Kumulativ,,,,,,,Merkmale,,,,,,Kalenderjahr,,,,,,Merkmale,,,,,,,Nachhaltigkeitsmerkmale (MSCI),,,
IWLE,iShares Core MSCI World UCITS ETF EUR Hedged (Dist),IE00BKBF6H24,"228.821.945,43",Ja,Irland,"0,30",-,05.Jun.2019,Aktien,Large/Mid Caps,Global,EUR,Industrieländer,"Core Series, Währungsgesichert",Weitere,Hedged,"38.507.704,00",Ja,Optimierung,iShares III plc,ausschüttend,MSCI World Net TR Index,"5,94",17.Nov.2020,"7.605,91",Ja,Nein/Suche,6.00,-,17.Nov.2020,-,17.Nov.2020,"27.631,74",Y,Index Fonds,30.Sep.2020,-,-,-,-,"7,16",31.Oct.2020,"2,11",-,-,-,-,"6,06",31.Oct.2020,"-2,91","10,35",-,-,-,"8,60","1,41","0,00","0,02","0,00","0,00",-,-,-,-,-,-,31.Dec.2019,iShares Core MSCI World UCITS ETF EUR Hedged (Dist),"21,64","2,69","-0,01","0,00","0,00","312.060,12",A,"6,79","141,66",-
-,iShares Global Aggregate 1-5 Year Bond Index Fund (IE) Institutional Dist CHF Hedged,IE00BFYB7576,"11.648.405,61",Ja,Irland,-,"0,24",14.Jun.2019,Anleihen,Flexible,Global,CHF,Industrieländer,-,Weitere,Inst Hedged,"1.174.696,95",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,BBG Barc Global Aggregate 1-5 Year Index,"9,92",17.Nov.2020,-,-,-,3.00,"9,91",17.Nov.2020,"9,93",17.Nov.2020,"1.229,05",Y,Index Fonds,30.Sep.2020,-,-,-,-,"0,77",31.Oct.2020,"0,85",-,-,-,-,"0,73",31.Oct.2020,"1,22","0,12",-,-,-,"1,01",-,"2,96",-,"2,66",-,-,-,-,-,-,-,31.Dec.2019,iShares Global Aggregate 1-5 Year Bond Index Fund (IE) Institutional Dist CHF Hedged,"9,13","0,77","0,58","2,96","2,67","0,00",A,"6,11","103,12",-
-,iShares Developed World Index Fund (IE) Institutional Acc EUR Hedged,IE00BJ023R69,"251.918.618,52",Ja,Irland,-,"0,21",14.Jun.2019,Aktien,Alle Kapitalisierungen,Global,EUR,Industrieländer,-,Weitere,Inst Hedged,"21.302.886,13",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,MSCI World Net TR Index,"11,83",17.Nov.2020,-,-,-,6.00,"11,82",17.Nov.2020,"11,84",17.Nov.2020,"12.607,48",Y,Index Fonds,30.Sep.2020,-,-,-,-,"7,09",31.Oct.2020,"2,01",-,-,-,-,"4,74",31.Oct.2020,"-2,96","10,24",-,-,-,"6,59",-,"0,00",-,"0,00",-,-,-,-,-,-,-,31.Dec.2019,iShares Developed World Index Fund (IE) Institutional Acc EUR Hedged,"19,59","2,44","0,02","0,00","0,00","303.807,38",A,"6,75","152,15",-
SGLU,iShares Global Govt Bond UCITS ETF USD Hedged (Acc),IE00BK7Y2P34,"114.235.829,73",Ja,Irland,"0,25",-,21.Jun.2019,Anleihen,Staatsanleihen,Global,USD,Industrieländer,Währungsgesichert,Weitere,Hedged,"21.311.524,00",Ja,Sampling,iShares III plc,thesaurierend,FTSE G7 Government Bond Index,"5,36",17.Nov.2020,"1.044,44",Ja,Nein/Suche,4.00,-,17.Nov.2020,-,17.Nov.2020,"2.007,50",Y,Index Fonds,30.Sep.2020,-,-,-,-,"4,35",31.Oct.2020,"4,49",-,-,-,-,"5,49",31.Oct.2020,"5,61","0,24",-,-,-,"7,52",-,"10,47","1,84","8,81","0,27","1,97",-,-,-,-,-,31.Dec.2019,iShares Global Govt Bond UCITS ETF USD Hedged (Acc),"0,00","0,00","0,27","10,47","8,81","0,00",A,"6,28",-,-
-,iShares Emerging Markets Government Bond Index Fund (IE) Institutional Acc EUR Hedged,IE00BJ9MTQ85,-,Ja,Irland,-,"0,27",02.Aug.2019,Anleihen,Staatsanleihen,Global,EUR,Schwellenländer,-,Weitere,Inst Hedged Acc,-,-,-,BlackRock Asset Management Ireland Limited,thesaurierend,-,"10,23",17.Nov.2020,-,-,-,4.00,-,17.Nov.2020,-,17.Nov.2020,"1.749,19",Y,Index Fonds,30.Sep.2020,-,-,-,-,"-0,87",31.Oct.2020,"-1,00",-,-,-,-,"-0,80",31.Oct.2020,"-2,09","11,53",-,-,-,"-1,00",-,"12,45",-,"7,93",-,-,-,-,-,-,-,31.Dec.2019,iShares Emerging Markets Government Bond Index Fund (IE) Institutional Acc EUR Hedged,"7,21","0,48","4,54","12,45","7,93","0,00",BB,"3,17","1,00",-
SNA2,iShares $ Treasury Bond UCITS ETF USD (Dist),IE00BK95B138,"9.658.545,73",Ja,Irland,"0,07",-,28.Aug.2019,Anleihen,Staatsanleihen,Nordamerika,USD,Industrieländer,-,Vereinigte Staaten von Amerika,- ,"1.849.742,00",Ja,Sampling,iShares plc,ausschüttend,IDC US Treasury Core Index,"5,22",17.Nov.2020,"120,32",Ja,Nein/Suche,3.00,-,17.Nov.2020,-,17.Nov.2020,"40,46",Y,Index Fonds,30.Sep.2020,-,-,-,-,"7,94",31.Oct.2020,"6,82",-,-,-,-,"4,94",31.Oct.2020,"7,78","-0,96",-,-,-,"5,82","1,40","8,38","2,01","6,90","0,58",-,-,-,-,-,-,31.Dec.2019,iShares $ Treasury Bond UCITS ETF USD (Dist),"18,47","0,92","0,58","8,38","6,90","0,00",A,"6,58","12,35",-
DHYD,iShares $ High Yield Corp Bond ESG UCITS ETF USD (Dist),IE00BKF09C98,"78.661.004,42",Ja,Irland,"0,50",-,20.Nov.2019,Anleihen,Hochzinsanleihen,Nordamerika,USD,Industrieländer,Nachhaltige Strategien,Vereinigte Staaten von Amerika,- ,"15.551.547,00",Ja,Sampling,iShares II plc,ausschüttend,BBG Barc MSCI US Corporate High Yield Sustainable BB+ SRI Bond Index,"5,06",17.Nov.2020,"111,07",Ja,Nein/Suche,4.00,-,17.Nov.2020,-,17.Nov.2020,"517,78",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares $ High Yield Corp Bond ESG UCITS ETF USD (Dist),"13,68","1,10","4,12","4,66","1,69","748,85",BBB,"5,27","187,76",ESG Broad
DHYE,iShares $ High Yield Corp Bond ESG UCITS ETF USD (Acc),IE00BJK55B31,"433.873.408,95",Ja,Irland,"0,50",-,12.Nov.2019,Anleihen,Hochzinsanleihen,Nordamerika,USD,Industrieländer,Nachhaltige Strategien,Vereinigte Staaten von Amerika,- ,"82.159.313,00",Ja,Sampling,iShares II plc,thesaurierend,BBG Barc MSCI US Corporate High Yield Sustainable BB+ SRI Bond Index,"5,28",17.Nov.2020,"111,07",Ja,Nein/Suche,4.00,-,17.Nov.2020,-,17.Nov.2020,"517,78",Y,Index Fonds,30.Sep.2020,-,-,-,-,-,31.Oct.2020,-,-,-,-,-,-,31.Oct.2020,"0,85","9,57",-,-,-,"2,60",-,"4,66","5,72","3,92","4,67",-,-,-,-,-,-,31.Dec.2019,iShares $ High Yield Corp Bond ESG UCITS ETF USD (Acc),"13,68","1,10","4,12","4,66","1,69","748,85",BBB,"5,27","187,76",ESG Broad
EHYA,iShares € High Yield Corp Bond ESG UCITS ETF EUR (Acc),IE00BJK55C48,"286.926.893,38",Ja,Irland,"0,50",-,12.Nov.2019,Anleihen,Hochzinsanleihen,Europa,EUR,Industrieländer,Nachhaltige Strategien,Weitere,- ,"57.393.403,00",Ja,Sampling,iShares II plc,thesaurierend,BBG Barc MSCI Euro Corporate High Yield Sustainable BB+ SRI Bond Index,"5,00",17.Nov.2020,"105,52",Ja,Nein/Suche,4.00,-,17.Nov.2020,-,17.Nov.2020,"399,43",Y,Index Fonds,30.Sep.2020,-,-,-,-,-,31.Oct.2020,-,-,-,-,-,-,31.Oct.2020,"-3,85","6,92",-,-,-,"-2,77",-,"4,06","3,42","3,66","3,09",-,-,-,-,-,-,31.Dec.2019,iShares € High Yield Corp Bond ESG UCITS ETF EUR (Acc),"9,95","0,60","2,89","4,06","1,69","0,00",A,"6,20","184,31",ESG Broad
EHYD,iShares € High Yield Corp Bond ESG UCITS ETF EUR (Dist),IE00BKLC5874,"112.502.423,59",Ja,Irland,"0,50",-,20.Nov.2019,Anleihen,Hochzinsanleihen,Europa,EUR,Industrieländer,Nachhaltige Strategien,Weitere,- ,"23.141.331,00",Ja,Sampling,iShares II plc,ausschüttend,BBG Barc MSCI Euro Corporate High Yield Sustainable BB+ SRI Bond Index,"4,86",17.Nov.2020,"105,52",Ja,Nein/Suche,4.00,-,17.Nov.2020,-,17.Nov.2020,"399,43",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares € High Yield Corp Bond ESG UCITS ETF EUR (Dist),"9,95","0,60","2,89","4,06","1,69","0,00",A,"6,20","184,31",ESG Broad
IX5A,iShares € Corp Bond ex-Financials 1-5yr UCITS ETF EUR (Acc),IE00BKT6BH25,"65.846.026,48",Ja,Irland,"0,20",-,26.Sep.2019,Anleihen,Unternehmensanleihen,Europa,EUR,Industrieländer,-,Weitere,- ,"13.079.627,00",Ja,Sampling,iShares III plc,thesaurierend,BBG Barc Euro Corp Ex Financial 1-5 year,"5,03",17.Nov.2020,"205,28",Ja,Nein/Suche,2.00,-,17.Nov.2020,-,17.Nov.2020,"1.694,75",Y,Index Fonds,30.Sep.2020,-,-,-,-,"-0,22",31.Oct.2020,"0,35",-,-,-,-,"0,29",31.Oct.2020,"0,38","2,71",-,-,-,"0,31",-,"2,94","1,52","2,89","0,10","3,51",-,-,-,-,-,31.Dec.2019,iShares € Corp Bond ex-Financials 1-5yr UCITS ETF EUR (Acc),"14,43","1,35","0,01","2,94","2,89","0,00",A,"6,33","236,09",-
CYBU,iShares China CNY Bond UCITS ETF USD Hedged (Dist),IE00BKT6RT64,"322.793.014,92",Ja,Irland,"0,40",-,04.Nov.2019,Anleihen,Flexible,Asien-Pazifik,USD,Schwellenländer,Währungsgesichert,China,Hedged,"64.149.951,00",Ja,Sampling,iShares IV plc,ausschüttend,BBG Barc China Treasury + Policy Bank Total Return Index in USD,"5,03",17.Nov.2020,"238,77",Ja,Nein/Suche,3.00,-,17.Nov.2020,-,17.Nov.2020,"4.617,24",Y,Index Fonds,30.Sep.2020,-,-,-,-,-,31.Oct.2020,-,-,-,-,-,"2,03",31.Oct.2020,"0,45","-4,15",-,-,-,"2,01","1,52","7,49","2,94","5,57","3,32",-,-,-,-,-,-,31.Dec.2019,iShares China CNY Bond UCITS ETF USD Hedged (Dist),"0,00","0,00","3,32","7,49","5,57","0,00",BB,"3,49","6,30",-
IGLE,iShares Global Govt Bond UCITS ETF EUR Hedged (Dist),IE00BKT6FT27,"289.121.823,27",Ja,Irland,"0,25",-,26.Sep.2019,Anleihen,Staatsanleihen,Global,EUR,Industrieländer,Währungsgesichert,Weitere,Hedged,"56.901.827,00",Ja,Sampling,iShares III plc,ausschüttend,FTSE G7 Government Bond Index,"5,08",17.Nov.2020,"1.044,44",Ja,Nein/Suche,4.00,-,17.Nov.2020,-,17.Nov.2020,"2.007,50",Y,Index Fonds,30.Sep.2020,-,-,-,-,"2,56",31.Oct.2020,"2,88",-,-,-,-,"2,01",31.Oct.2020,"4,43","-0,17",-,-,-,"2,20","0,71","10,47","1,84","8,81","0,27","1,97",-,-,-,-,-,31.Dec.2019,iShares Global Govt Bond UCITS ETF EUR Hedged (Dist),"0,00","0,00","0,27","10,47","8,81","0,00",A,"6,28",-,-
SJPE,iShares Core MSCI Japan IMI UCITS ETF EUR Hedged (Acc),IE00BKT6FV49,"12.361.786,31",Ja,Irland,"0,20",-,26.Sep.2019,Aktien,Alle Kapitalisierungen,Asien-Pazifik,EUR,Industrieländer,"Core Series, Währungsgesichert",Japan,Hedged,"2.264.326,00",Ja,Optimierung,iShares III plc,thesaurierend,MSCI Japan Investable Market Net Index in USD,"5,46",17.Nov.2020,"1.488,72",Ja,Nein/Suche,6.00,-,17.Nov.2020,-,17.Nov.2020,"3.639,34",Y,Index Fonds,30.Sep.2020,-,-,-,-,"3,49",31.Oct.2020,"-4,08",-,-,-,-,"-0,57",31.Oct.2020,"-7,03","8,88",-,-,-,"-0,62",-,"0,00","0,15","0,00","0,00",-,-,-,-,-,-,31.Dec.2019,iShares Core MSCI Japan IMI UCITS ETF EUR Hedged (Acc),"17,40","1,33","-0,01","0,00","0,00","39.241,87",A,"6,32","83,72",-
36BE,iShares $ Corp Bond ESG UCITS ETF USD (Dist),IE00BK4W7N32,"52.519.116,13",Ja,Irland,"0,15",-,03.Mar.2020,Anleihen,Unternehmensanleihen,Global,USD,Industrieländer,Nachhaltige Strategien,Weitere,- ,"10.160.364,00",Ja,Sampling,iShares II plc,ausschüttend,BBG Barclays US Corporate Sustainable SRI Index,"5,17",17.Nov.2020,"144,85",Ja,Nein/Suche,4.00,-,17.Nov.2020,-,17.Nov.2020,"348,45",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares $ Corp Bond ESG UCITS ETF USD (Dist),"15,89","1,51","1,65","11,12","8,03","0,00",A,"7,10","87,61",ESG Broad
36BA,iShares $ Corp Bond ESG UCITS ETF EUR Hedged (Dist),IE00BH4G7D40,"30.740.118,35",Ja,Irland,"0,17",-,14.May.2020,Anleihen,Unternehmensanleihen,Global,EUR,Industrieländer,"Währungsgesichert, Nachhaltige Strategien",Weitere,Hedged,"5.839.415,00",Ja,Sampling,iShares II plc,ausschüttend,BBG Barclays US Corporate Sustainable SRI Index,"5,26",17.Nov.2020,-,Ja,Nein/Suche,4.00,-,17.Nov.2020,-,17.Nov.2020,"348,45",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares $ Corp Bond ESG UCITS ETF EUR Hedged (Dist),"15,89","1,51","1,65","11,12","8,03","0,00",A,"7,10","87,61",ESG Broad
-,BGIF iShares World Equity Index Fund I2 USD,LU2060767121,-,Ja,Luxemburg,-,"0,20",09.Oct.2019,Aktien,Large Caps,Global,USD,Industrieländer,-,Weitere,KLASSE I2,-,-,-,BlackRock (Luxembourg) S.A.,thesaurierend,MSCI WORLD Net ( custom 4pm LUX ),"122,08",18.Nov.2020,-,-,-,6.00,-,18.Nov.2020,-,18.Nov.2020,"1.590,31",Y,Index Fonds,30.Sep.2020,-,-,-,-,-,31.Oct.2020,"3,84",-,-,-,-,"8,19",31.Oct.2020,"-1,84","11,61",-,-,-,"8,69",-,"0,00",-,"0,00",-,-,-,-,-,-,-,31.Dec.2019,BGIF iShares World Equity Index Fund I2 USD,"19,64","2,43","0,02","0,00","0,00","305.926,57",A,"6,79","154,68",-
CT2B,iShares Smart City Infrastructure UCITS ETF USD (Dist),IE00BKTLJB70,"17.419.336,41",Ja,Irland,"0,40",-,03.Mar.2020,Aktien,Alle Kapitalisierungen,Global,USD,Industrieländer,"Nachhaltige Strategien, Thematische Anlagen",Weitere,- ,"3.017.463,00",Ja,Optimierung,iShares IV plc,ausschüttend,STOXX Global Smart City Infrastructure,"5,77",17.Nov.2020,"2.099,27",Ja,Nein/Suche,6.00,-,17.Nov.2020,-,17.Nov.2020,"34,70",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares Smart City Infrastructure UCITS ETF USD (Dist),"18,81","2,08","0,01","0,00","0,00","13.757,33",BBB,"5,12","136,22",Thematisch
CITY,iShares Smart City Infrastructure UCITS ETF USD (Acc),IE00BKTLJC87,"17.277.783,03",Ja,Irland,"0,40",-,03.Mar.2020,Aktien,Alle Kapitalisierungen,Global,USD,Industrieländer,"Nachhaltige Strategien, Thematische Anlagen",Weitere,- ,"2.982.248,00",Ja,Optimierung,iShares IV plc,thesaurierend,STOXX Global Smart City Infrastructure,"5,79",17.Nov.2020,"2.099,27",Ja,Nein/Suche,6.00,-,17.Nov.2020,-,17.Nov.2020,"34,70",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares Smart City Infrastructure UCITS ETF USD (Acc),"18,81","2,08","0,01","0,00","0,00","13.757,33",BBB,"5,12","136,22",Thematisch
DDBB,iShares $ Development Bank Bonds UCITS ETF USD (Acc),IE00BKRWN659,"208.115.243,45",Ja,Irland,"0,15",-,06.Dec.2019,Anleihen,Unternehmensanleihen,Global,USD,Industrieländer,Nachhaltige Strategien,Weitere,- ,"39.688.650,00",Ja,Sampling,iShares III plc,thesaurierend,FTSE World Broad Investment-Grade USD Multi Dev Bank Bond Capped Index,"5,24",17.Nov.2020,"135,52",Ja,Nein/Suche,3.00,-,17.Nov.2020,-,17.Nov.2020,"265,82",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares $ Development Bank Bonds UCITS ETF USD (Acc),"18,47","0,92","0,43","3,70","3,55","0,00",AAA,"8,58","5,40",Impact
SLMG,iShares J.P. Morgan ESG $ EM Bond UCITS ETF EUR Hedged (Acc),IE00BKP5L730,"115.411.957,04",Ja,Irland,"0,50",-,20.Nov.2019,Anleihen,Staatsanleihen,Global,EUR,Schwellenländer,"Währungsgesichert, Nachhaltige Strategien",Weitere,Hedged,"22.208.321,00",Ja,Sampling,iShares II plc,thesaurierend,J.P. Morgan ESG-Emerging Markets Bond Index Global Diversified,"5,20",17.Nov.2020,"145,38",Ja,Nein/Suche,4.00,-,17.Nov.2020,-,17.Nov.2020,"880,01",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares J.P. Morgan ESG $ EM Bond UCITS ETF EUR Hedged (Acc),"17,52","0,84","3,93","13,09","5,48","0,00",BB,"3,79","486,00",ESG Broad
IMBE,iShares US Mortgage Backed Securities UCITS ETF EUR Hedged (Acc),IE00BKP5L409,"639.492.953,49",Ja,Irland,"0,30",-,20.Nov.2019,Anleihen,Verbriefte Kredite,Nordamerika,EUR,Industrieländer,Währungsgesichert,Weitere,Hedged,"124.860.640,00",Ja,Sampling,iShares IV plc,thesaurierend,BBG Barc MBS Index,"5,12",17.Nov.2020,"2.318,26",Ja,Nein/Suche,3.00,-,17.Nov.2020,-,17.Nov.2020,"2.519,56",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares US Mortgage Backed Securities UCITS ETF EUR Hedged (Acc),"18,47","0,92","1,06","3,32","2,28","0,00",-,-,-,-
-,iShares Emerging Markets Government Bond Index Fund (IE) D Dist GBP Hedged,IE00BKFVZB33,"653.431,08",Ja,Irland,-,"0,22",27.Nov.2019,Anleihen,Staatsanleihen,Global,GBP,Schwellenländer,-,Weitere,Class D Dist Hedged,"64.945,87",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,JP Morgan EMBI Global Diversified Index,"10,06",17.Nov.2020,-,-,-,4.00,"10,06",17.Nov.2020,"10,12",17.Nov.2020,"1.749,19",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares Emerging Markets Government Bond Index Fund (IE) D Dist GBP Hedged,"7,21","0,48","4,54","12,45","7,93","0,00",BB,"3,17","1,00",-
-,iShares Emerging Markets Local Government Bond Index Fund (IE) D Dist GBP,IE00BKFVZC40,-,Ja,Irland,-,"0,25",13.Nov.2019,Anleihen,Staatsanleihen,Global,GBP,Schwellenländer,-,Weitere,Class D Dist,-,-,-,BlackRock Asset Management Ireland Limited,ausschüttend,JP Morgan GBI-EM Global Diversified Index in GBP,"9,78",17.Nov.2020,-,-,-,5.00,-,17.Nov.2020,-,17.Nov.2020,"948,14",Y,Index Fonds,30.Sep.2020,-,-,-,-,-,31.Oct.2020,-,-,-,-,-,-,31.Oct.2020,"-3,77","4,04",-,-,-,"-3,30",-,"7,28",-,"5,24",-,-,-,-,-,-,-,-,iShares Emerging Markets Local Government Bond Index Fund (IE) D Dist GBP,"0,00","0,00","4,14","7,28","5,24","0,00",BBB,"4,65",-,-
SMDU,iShares MSCI EMU SRI UCITS ETF EUR (Dis),IE00BJM0B415,"1.657.133,42",Ja,Irland,"0,20",-,03.Mar.2020,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,Nachhaltige Strategien,Weitere,- ,"302.000,00",Ja,Optimierung,iShares IV plc,ausschüttend,MSCI EMU SRI SELECT REDUCED FOSSIL FUEL NET Index,"5,49",17.Nov.2020,"2.624,71",Ja,Nein/Suche,6.00,-,17.Nov.2020,-,17.Nov.2020,"6,64",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares MSCI EMU SRI UCITS ETF EUR (Dis),"18,48","1,90","-0,01","0,00","0,00","49.477,02",AA,"8,24","103,63",ESG Broad
SMUA,iShares MSCI EMU SRI UCITS ETF EUR (Acc),IE00BJLKK341,"4.983.517,07",Ja,Irland,"0,20",-,03.Mar.2020,Aktien,Large/Mid Caps,Europa,EUR,Industrieländer,Nachhaltige Strategien,Weitere,- ,"900.000,00",Ja,Optimierung,iShares IV plc,thesaurierend,MSCI EMU SRI SELECT REDUCED FOSSIL FUEL NET Index,"5,54",17.Nov.2020,"2.624,71",Ja,Nein/Suche,6.00,-,17.Nov.2020,-,17.Nov.2020,"6,64",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares MSCI EMU SRI UCITS ETF EUR (Acc),"18,48","1,90","-0,01","0,00","0,00","49.477,02",AA,"8,24","103,63",ESG Broad
-,iShares Global Aggregate 1-5 Year Bond Index Fund Inst Acc USD,IE00BL6VHF72,"1.056,99",Ja,Irland,-,"0,20",20.Dec.2019,Anleihen,Flexible,Global,USD,Industrieländer,-,Weitere,Inst,"99,90",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,BBG Barc Global Aggregate 1-5 Year Index,"10,58",17.Nov.2020,-,-,-,3.00,"10,57",17.Nov.2020,"10,59",17.Nov.2020,"1.229,05",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares Global Aggregate 1-5 Year Bond Index Fund Inst Acc USD,"9,13","0,77","0,58","2,96","2,67","0,00",A,"6,11","103,12",-
-,iShares US Corporate Bond Index Fund (IE) Inst Acc EUR Hedged,IE00BL6VHD58,"11.760.624,32",Ja,Irland,-,"0,19",19.Dec.2019,Anleihen,Unternehmensanleihen,Nordamerika,EUR,Industrieländer,-,Vereinigte Staaten von Amerika,Inst Hedged,"1.104.091,99",-,-,BlackRock Asset Management Ireland Limited,thesaurierend,FTSE Euro Dollar Bond Index,"10,65",17.Nov.2020,-,-,-,4.00,"10,61",17.Nov.2020,"10,69",17.Nov.2020,"1.740,03",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares US Corporate Bond Index Fund (IE) Inst Acc EUR Hedged,"12,06","1,20","1,95","10,76","7,38","0,00",BBB,"5,47","274,87",-
-,iShares Europe ex-UK Index Fund (IE) D Distributing GBP,IE00BK8V1233,"599.220,86",Ja,Irland,-,"0,11",17.Jan.2020,Aktien,Large/Mid Caps,Europa,GBP,Industrieländer,-,Weitere,KLASSE D,"59.807,00",-,-,BlackRock Asset Management Ireland Limited,ausschüttend,MSCI Europe ex UK Net TR Index - in GBP,"10,02",17.Nov.2020,-,-,-,6.00,"10,02",17.Nov.2020,"10,03",17.Nov.2020,"3.443,21",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares Europe ex-UK Index Fund (IE) D Distributing GBP,"15,46","1,66","0,00","0,00","0,00","65.944,84",AA,"7,96","145,53",-
UESD,iShares £ Ultrashort Bond ESG UCITS ETF GBP (Dist),IE00BJP26F04,"26.027.482,87",Ja,Irland,"0,09",-,16.Mar.2020,Anleihen,Unternehmensanleihen,Europa,GBP,Industrieländer,Nachhaltige Strategien,Grossbritannien,- ,"5.180.000,00",Ja,Sampling,iShares IV plc,ausschüttend,iBoxx MSCI ESG GBP Liquid Investment Grade Ultrashort,"5,02",17.Nov.2020,"106,20",Ja,Ja,1.00,-,17.Nov.2020,-,17.Nov.2020,"26,03",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares £ Ultrashort Bond ESG UCITS ETF GBP (Dist),"10,40","0,74","0,34","1,05","0,25","0,00",AA,"7,31","14,55",ESG Broad
UEDD,iShares $ Ultrashort Bond ESG UCITS ETF USD (Dist),IE00BJP26C72,"10.137.377,29",Ja,Irland,"0,09",-,16.Mar.2020,Anleihen,Unternehmensanleihen,Nordamerika,USD,Industrieländer,Nachhaltige Strategien,Vereinigte Staaten von Amerika,- ,"2.000.000,00",Ja,Sampling,iShares IV plc,ausschüttend,iBoxx MSCI ESG USD Liquid Investment Grade Ultrashort,"5,07",17.Nov.2020,"111,00",Ja,Nein/Suche,2.00,-,17.Nov.2020,-,17.Nov.2020,"10,14",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares $ Ultrashort Bond ESG UCITS ETF USD (Dist),"11,84","0,87","0,42","0,55","0,26","0,00",A,"6,25","17,47",ESG Broad
EUED,iShares € Ultrashort Bond ESG UCITS ETF EUR (Dist),IE00BJP26D89,"63.743.040,36",Ja,Irland,"0,09",-,16.Mar.2020,Anleihen,Unternehmensanleihen,Europa,EUR,Industrieländer,Nachhaltige Strategien,Weitere,- ,"12.684.000,00",Ja,Sampling,iShares IV plc,ausschüttend,iBoxx MSCI ESG EUR Liquid Investment Grade Ultrashort,"5,03",17.Nov.2020,"100,93",Ja,Nein/Suche,1.00,-,17.Nov.2020,-,17.Nov.2020,"63,74",Y,Index Fonds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iShares € Ultrashort Bond ESG UCITS ETF EUR (Dist),"10,06","0,70","-0,19","0,73","0,36","0,00",AA,"7,95","86,84",ESG Broad
